Datatype,Frequency
http://dbpedia.org/datatype/hectolitre,1371
http://dbpedia.org/datatype/inhabitantsPerSquareMile,4
http://dbpedia.org/datatype/volt,17869
http://www.maas.ccr.it/OntoArch/string,2
http://ontologi.es/demiblog#article_id,278
http://purl.org/dc/terms/ISO3166,1
http://dbpedia.org/datatype/swissFranc,4506
http://www.w3.org/2001/XMLSchema#integer,716900998
http://msc2010.org/resources/MSC/simpleTypes#MSCNotation,12412
http://dbpedia.org/datatype/megalitre,1168
http://dbpedia.org/datatype/venezuelanBol%c3%advar,8
http://dbpedia.org/ontology/milePerHour,61
http://dbpedia.org/datatype/usGallon,51
http://www.w3.org/2001/XMLSchema#NMTOKEN,2
http://dbpedia.org/datatype/kilowatt,93610
http://dbpedia.org/datatype/macanesePataca,34
http://id.southampton.ac.uk/JACS,275
http://dbpedia.org/datatype/fuelType,3477
http://dbpedia.org/datatype/ampere,60605
http://purl.org/NET/decimalised#number,908
http://dbpedia.org/datatype/peruvianNuevoSol,213
http://www.w3.org/2001/XMLSchema#anyURI,2399587
http://dbpedia.org/ontology/horsepower,101
http://sw.nokia.com/MARS-3/Percentage,666
http://dbpedia.org/datatype/saudiRiyal,690
http://dbpedia.org/datatype/squareMile,809
http://dbpedia.org/ontology/Percent,151
http://dbpedia.org/datatype/barbadosDollar,418
http://dbpedia.org/ontology/megapond,1
http://dbpedia.org/datatype/valvetrain,3621
http://www.w3.org/ns/auth/cert#int,20
http://dbpedia.org/datatype/squareMetre,86951
xsd:string,233653
http://dbpedia.org/ontology/giganewton,1
xsd:gYear,6471
http://dbpedia.org/ontology/cubicMile,2
http://dbpedia.org/datatype/mile,16308
http://dbpedia.org/datatype/unitedArabEmiratesDirham,301
http://dbpedia.org/datatype/kilogram,1564301
http://www/w3.org/2001/XMLSchema#string,4
http://estatwrap.ontologycentral.com/dic/note#c,74630
http://dbpedia.org/datatype/perCent,124046
http://dbpedia.org/ontology/gramPerKilometre,1
http://example.org/datatype3,6
http://dbpedia.org/datatype/day,91515
http://dbpedia.org/datatype/papuaNewGuineanKina,152
http://dbpedia.org/datatype/kilometrePerSecond,88909
http://dbpedia.org/datatype/sierraLeoneanLeone,158
http://www.w3.org/2002/12/cal/tzd/Europe/Rome#tz,4
http://dbpedia.org/datatype/latvianLats,236
http://www.w3.org/2000/10/XMLSchema#positiveInteger,6
http://www.w3.org/2001/XMLSchema.xsd#nonNegativeInteger,8
http://dbpedia.org/datatype/capeVerdeEscudo,89
http://dbpedia.org/datatype/megawatt,20485
http://dbpedia.org/ontology/footPerMinute,33
http://id.southampton.ac.uk/stats-ns/NSSQuestionNumber,56
http://www.w3.org/2002/12/cal/icaltzd#dateTime,2312
http://dbpedia.org/ontology/kilojoule,1
http://www.w3.org/2000/10/XMLSchema#nonNegativeInteger,597
http://www.w3.org/TR/xmlschema-2/#dateTime,4
http://www.w3.org/2001/XMLSchema#noneNegativeInteger,10
http://dbpedia.org/datatype/namibianDollar,122
http://www.w3.org/2001/XMLSchema#unsignedShort,25992
http://dbpedia.org/datatype/gramPerKilometre,176
http://dbpedia.org/datatype/hectometre,2
http://dbpedia.org/ontology/cubicCentimetre,6
http://dbpedia.org/ontology/kilogramForce,3
http://dbpedia.org/datatype/cubicInch,950
http://redfoot.net/3.0/redfoot#Python,7
http://www.w3.org/ns/auth/cert#decimal,2
http://dbpedia.org/ontology/fuelType,2
http://dbpedia.org/units/Rank,6839
http://dbpedia.org/ontology/kilonewton,23
http://dbpedia.org/datatype/cubicFeetPerSecond,187
dc:IMT,1
http://dbpedia.org/ontology/rod,85
http://www.w3.org/2001/XMLSchema#unsignedByte,330
http://dbpedia.org/datatype/engineConfiguration,148644
http://dbpedia.org/datatype/mauritianRupee,214
http://research.data.gov.uk/def/institution/RAECode,10
http://www.openmobilealliance.org/tech/profiles/UAPROF/xmlschema-20030226#Number,185
http://example.org/user/data#type,11
http://dbpedia.org/ontology/cubicMetre,31
http://dbpedia.org/datatype/israeliNewSheqel,68
http://www.openmobilealliance.org/tech/profiles/UAPROF/ccppschema-20021212#Literal,2
http://dbpedia.org/datatype/kilonewton,29058
http://www.w3.org/2001/XMLSchema#Decimal,80
http://dbpedia.org/datatype/jordanianDinar,61
http://www.openmobilealliance.org/tech/profiles/UAPROF/xmlschema-20030226#Dimension,106
http://colab.cim3.net/file/work/Expedition_Workshop/2005_08_16_DesigningTheDRM_forDataAccessibility/rdfcode/chap8/pracRDFThird.rdf,1
http://dbpedia.org/units/Pound,175
http://dbpedia.org/datatype/hectopascal,7062
http://dbpedia.org/datatype/kelvin,71450
http://purl.org/xtypes/Fragment-HTML,1620
http://www.w3.org/2001/XMLSchmea#string,101
http://dbpedia.org/datatype/millilitre,206
http://www.w3.org/2000/10/XMLSchema#integer,97
http://dbpedia.org/datatype/centilitre,120
http://www.w3.org/2002/12/cal/tzd/Europe/Ljubljana#tz,1450
http://eulersharp.sourceforge.net/2004/04test/michaelP#Unit,1
http://dbpedia.org/datatype/degreeRankine,142252
http://powl.sf.net/SysOnt/0.1#bN41064713beee41,1
http://www.w3.org/2001/sw/Europe/200409/geox/hi#liftFloor,6
http://msc2010.org/resources/MSC/2010/mscvocab#MSCNotation,1
http://dbpedia.org/units/feet,407
http://dbpedia.org/datatype/liberianDollar,62
http://dbpedia.org/ontology/knot,132
http://dbpedia.org/ontology/pferdestaerke,2
http://dbpedia.org/datatype/nigerianNaira,150
http://dbpedia.org/datatype/kilopond,280
http://dbpedia.org/datatype/hungarianForint,199
http://dbpedia.org/datatype/inch,72994
http://dbpedia.org/ontology/inhabitantsPerSquareKilometre,423
http://dbpedia.org/ontology/icelandKrona,6
http://dbpedia.org/datatype/guineaFranc,1106
http://dbpedia.org/datatype/poundSterling,82030
http://dbpedia.org/datatype/cubicMetre,13624
http://dbpedia.org/datatype/megawattHour,134
http://www.w3.org/2001/XMLSchematime,10504
http://www.w3.org/2001/XMLSchema#NCName,4503
http://www.w3.org/2001/XMLSchema#unsignedInt,58
http://dbpedia.org/datatype/squareHectometre,18
http://dbpedia.org/datatype/degreeFahrenheit,35815
http://213.199.9.13/string,1
http://dbpedia.org/datatype/azerbaijaniManat,68
http://dbpedia.org/ontology/pound,1085
http://purl.org/dc/terms/ISO639-2,1170887
http://dbpedia.org/ontology/inch,336
http://dbpedia.org/ontology/usGallon,8
http://dbpedia.org/datatype/astronomicalUnit,201211
xsd:int,6
http://dbpedia.org/datatype/canadianDollar,4148
http://dbpedia.org/datatype/cubicDecametre,22
http://dbpedia.org/ontology/dollar,2698
http://dbpedia.org/datatype/bit,1288
http://dbpedia.org/datatype/norwegianKrone,9924
http://dbpedia.org/datatype/bulgarianLev,134
http://estatwrap.ontologycentral.com/dic/note#cps,732
http://dbpedia.org/datatype/kilojoule,207
http://dbpedia.org/datatype/swedishKrona,8483
http://estatwrap.ontologycentral.com/dic/note#cei,432
http://www.youpage.co.uk/&xsd;date,6
http://dbpedia.org/datatype/algerianDinar,94
http://www.w3.org/2001/XMLSchema#short,94789
http://www.w3.org/2001/XMLSchema#datetime,373
http://www.w3.org/1999/02/22-rdf-syntax-ns#HTML,3
http://dbpedia.org/datatype/congoleseFranc,34
http://www.w3.org/2001/XMLSchemastring,25
http://dbpedia.org/datatype/hertz,962
http://dbpedia.org/datatype/afghanAfghani,628
http://www.skype.com/go/skypeweb,19
http://dbpedia.org/ontology/Euro,12
http://dbpedia.org/datatype/bosniaAndHerzegovinaConvertibleMarks,314
http://dbpedia.org/ontology/yen,40
http://estatwrap.ontologycentral.com/dic/note#bir,6
http://estatwrap.ontologycentral.com/dic/note#bip,6
http://dbpedia.org/datatype/millivolt,8
http://dbpedia.org/datatype/gramPerMillilitre,639
http://www.w3.org/2001/XMLSchema#ENTITY,6
http://dbpedia.org/datatype/nanosecond,22
http://id.southampton.ac.uk/ns/building-code-scheme,2090
http://dbpedia.org/datatype/solomonIslandsDollar,30
http://dbpedia.org/datatype/gramPerCubicCentimetre,29696
http://dbpedia.org/datatype/egyptianPound,105
http://dbpedia.org/datatype/megahertz,56537
http://dbpedia.org/ontology/nicaraguanC????rdoba,83
http://dbpedia.org/datatype/westAfricanCfaFranc,12
http://dbpedia.org/ontology/gigabyte,3
http://purl.org/dc/terms/LCC,2
http://www.w3.org/2000/10/XMLSchema#string,1591
http://dbpedia.org/units/Kilometer,899
http://dbpedia.org/units/Meter,5711
http://dbpedia.org/datatype/foot,91429
http://www.w3.org/2001/XMLSchema#Time,244
http://dbpedia.org/datatype/brazilianReal,118
http://purl.org/xtypes/Fragment-PlainText,1478
http://dbpedia.org/datatype/poundPerSquareInch,586
http://dbpedia.org/datatype/zambianKwacha,63
http://nuts.psi.enakting.org/def/NUTS0Code,2
http://dbpedia.org/ontology/kilohertz,55
http://dbpedia.org/datatype/acre,10888
http://dbpedia.org/datatype/cubicFoot,50
http://dbpedia.org/units/Gramm,322
http://dbpedia.org/ontology/cubicMetrePerSecond,108
http://dbpedia.org/datatype/ounce,953
http://redfoot.net/2005/redfoot#Python,68
http://dbpedia.org/datatype/pferdestaerke,5500
http://estatwrap.ontologycentral.com/dic/note#u,68672
http://environment.data.gov.uk/def/bathing-water-quality/complianceCode,14
http://data.ordnancesurvey.co.uk/ontology/place/ONSCountryCode,1
http://dbpedia.org/ontology/kilometresPerLitre,1
http://dbpedia.org/datatype/albanianLek,394
http://dbpedia.org/datatype/bahrainiDinar,34
http://dbpedia.org/ontology/hectolitre,2
http://www.w3.org/2001/XMLSchema#ID,96
http://dbpedia.org/ontology/australianDollar,5
http://environment.data.gov.uk/def/bathing-water-quality/countQualifierCode,10
http://estatwrap.ontologycentral.com/dic/note#cu,13
http://redfoot.net/2005/server#Kid,3
http://dbpedia.org/datatype/kilolightYear,1256
http://www.w3.org/2001/sw/Europe/200409/geox/hi#etage,16
http://www.w3.org/2001/XMLSchemadate,126
http://estatwrap.ontologycentral.com/dic/note#cs,476
http://dbpedia.org/ontology/mile,450
http://dbpedia.org/datatype/gigahertz,2189
http://estatwrap.ontologycentral.com/dic/note#ce,71
http://dbpedia.org/ontology/footPerSecond,4
http://www.w3.org/2001/XMLSchema-datatypes#boolean,110
http://dbpedia.org/datatype/squareMillimetre,44
http://dbpedia.org/datatype/minute,1881587
http://estatwrap.ontologycentral.com/dic/note#ci,1024
http://dbpedia.org/datatype/grain,1280
http://dbpedia.org/ontology/pakistanRupee,4
http://dbpedia.org/datatype/vanuatuVatu,22
http://dbpedia.org/ontology/norwegianKrone,39
http://www.w3.org/2001/XMLSchema#Date,26
http://dbpedia.org/datatype/perMil,46
http://dbpedia.org/units/Kelvin,24
http://www.w3.org/2001/XMLSchema#gYear,30888167
xsd:dateTime,25
http://dbpedia.org/datatype/estonianKroon,41
http://dbpedia.org/units/Megabyte,74
http://def.seegrid.csiro.au/isotc211/iso19103/2005/basic#ISOClassName,1
xsd:nonNegativeInteger,394
http://dbpedia.org/datatype/laoKip,72
http://www.w3.org/2001/10/XMLSchema#nonNegativeInteger,8
http://dbpedia.org/ontology/squareMile,1375
http://dbpedia.org/ontology/pond,15
http://dbpedia.org/ontology/perSquareMile,1
http://www.w3.org/2002/12/cal/tzd/Europe/Berlin#tz,81
http://dbpedia.org/datatype/newZealandDollar,201
http://dbpedia.org/datatype/nicaraguanC%c3%b3rdoba,139190
http://dbpedia.org/datatype/thaiBaht,348
http://redfoot.net/3.0/server#Kid,1
http://dbpedia.org/ontology/canadianDollar,7
http://purl.org/atom/ns#doublequoted,2
http://dbpedia.org/datatype/cubicYard,9
http://dbpedia.org/datatype/czechKoruna,756
http://dbpedia.org/datatype/poundFoot,37
http://research.data.gov.uk/def/project/SICCode,541
http://dbpedia.org/datatype/cubicDecimetre,826
http://dbpedia.org/ontology/meganewton,1
http://www.w3.org/2001/XMLSchema#URI,13
xsd:date,508
http://dbpedia.org/datatype/calorie,70
http://estatwrap.ontologycentral.com/dic/note#ceip,9
http://dbpedia.org/datatype/cubicMillimetre,58
http://dbpedia.org/ontology/kilolightYear,4
http://www.w3.org/2001/XMLSchema,765165
http://dbpedia.org/units/Kilogramm,678
http://www.w3.org/2001/XMLSchema#duration,230094
http://dbpedia.org/ontology/Yen,2
http://www.linkedmodel.org/schema/vaem#dateUnion,2
http://dbpedia.org/datatype/trinidadAndTobagoDollar,10
http://www.w3.org/2001/XMLSchema#DateTime,110
http://www.w3.org/2001/XMLSchema#sting,1
http://dbpedia.org/datatype/samoanTala,2
http://dbpedia.org/datatype/knot,8384
http://dbpedia.org/ontology/squareMetre,190
http://dbpedia.org/datatype/milliampere,102
http://purl.org/dc/terms/DCMIType,74
http://www.w3.org/2001/XMLSchema#Name,107
http://www.w3.org/2002/12/cal/tzd/Europe/Dublin#tz,544
http://dbpedia.org/datatype/kilocalorie,46
http://dbpedia.org/datatype/uruguayanPeso,24
http://estatwrap.ontologycentral.com/dic/note#b,5844
http://dbpedia.org/datatype/footPerMinute,10803
http://dbpedia.org/datatype/seychellesRupee,440
http://estatwrap.ontologycentral.com/dic/note#e,15732
http://estatwrap.ontologycentral.com/dic/note#f,10799
http://estatwrap.ontologycentral.com/dic/note#i,62241
http://estatwrap.ontologycentral.com/dic/note#n,1892
http://www.opengis.net/ont/geosparql#wktLiteral,210934341
http://estatwrap.ontologycentral.com/dic/note#p,40516
http://estatwrap.ontologycentral.com/dic/note#r,5127
http://estatwrap.ontologycentral.com/dic/note#s,37730
http://www.w3.org/2000/01/rdf-schema#Literal,23419
http://estatwrap.ontologycentral.com/dic/note#z,164266
http://dbpedia.org/datatype/qatariRial,58
http://dbpedia.org/ontology/kilometrePerSecond,58
http://dbpedia.org/datatype/moldovanLeu,56
http://dbpedia.org/datatype/kilopascal,3449
http://dbpedia.org/ontology/degreeFahrenheit,3
http://id.southampton.ac.uk/ns/bus-route-id-scheme,183
http://dbpedia.org/datatype/nanometre,5992
http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,2608809608
http://dbpedia.org/datatype/megametre,498
http://dbpedia.org/datatype/millimetre,562445
